urun_id,isim,marka,kategori,tahmini_indirim,gercek_indirim,hata,dogru_mu
10207800,John Frieda Blonde Yıkama Öncesi Bakım Kompleksi 100 ml,John,Saç Bakım,43.839176505303556,40.0,3.8391765053035556,True
10207806,"Celenes Thermal Hydro Care Stick Lip Balm 4,8 gr",Celenes,Cilt Bakım,57.43210438882106,59.1,1.6678956111789418,True
10207807,"Celenes Nordic Cloudberry Stick Lip Balm 4,8 gr",Celenes,Cilt Bakım,55.9119047174311,58.55,2.638095282568898,True
10207808,"Celenes Nordic Goji Berry Stick Lip Balm Lip & Cheek 4,8 gr",Celenes,Cilt Bakım,59.00602010202463,60.8,1.793979897975369,True
10207809,"Celenes Nordic Blueberry Stick Lip Balm Lip & Cheek 4,8 gr",Celenes,Cilt Bakım,59.15042397337348,60.8,1.6495760266265194,True
10207826,Eklips Ten Külotlu Çorap S Beden,Eklips,Moda & Aksesuar,8.924019837302081,11.9,2.975980162697919,True
10207828,Eklips Ten Külotlu Çorap L Beden,Eklips,Moda & Aksesuar,14.81749849495785,11.9,2.917498494957849,True
10207830,Eklips Siyah Külotlu Çorap M Beden,Eklips,Moda & Aksesuar,8.032361816628349,11.9,3.8676381833716516,True
10207833,LYKD Night Shift Dudak Balmı 100 Black,LYKD,Makyaj,72.14206268660932,75.9,3.757937313390684,True
10207834,LYKD Night Haze Dudak Parlatıcısı 100 Black,LYKD,Makyaj,71.57857446263911,75.9,4.321425537360895,True
10207840,Eklips İki Renkli Banyo Lifi (Asortili),Eklips,Duş & Banyo,44.80386600635487,41.7,3.1038660063548704,True
10207841,Eklips Banyo Lifi Süngerli (Asortili),Eklips,Duş & Banyo,41.20823777825282,48.20000000000001,6.991762221747187,False
10207843,Eklips Takma Kirpik Cherry Glimpse,Eklips,Kişisel Bakım,50.239817174190506,42.0,8.239817174190506,False
10207844,Eklips Takma Kirpik Amethyst Wink,Eklips,Kişisel Bakım,50.239817174190506,42.0,8.239817174190506,False
10207845,Eklips Takma Kirpik Neon Ivy,Eklips,Kişisel Bakım,50.239817174190506,42.0,8.239817174190506,False
10207847,Eklips 3'lü Banyo Lifi,Eklips,Duş & Banyo,33.02153484159626,33.9,0.878465158403742,True
10207850,Dp Şampuan Kepek Önleyici 425 ml,Dp,Saç Bakım,50.59028030745068,50.0,0.5902803074506835,True
10207851,Dp Şampuan Hyalüronik Asit 425 ml,Dp,Saç Bakım,50.26512299886275,50.0,0.2651229988627506,True
10207852,Dp Şampuan Bond Repair 425 ml,Dp,Saç Bakım,50.18960185429381,50.0,0.18960185429381227,True
10207860,Orien Islak Görünüm Saç Jölesi 400 ml,Orien,Erkek Bakım,45.41423007973891,50.20000000000001,4.785769920261103,True
10207861,Orien Sert Tutuş Saç Jölesi 400 ml,Orien,Erkek Bakım,45.41423007973891,50.2,4.785769920261096,True
10207862,Orien Islak Sert Tutuş Saç Jölesi 400 ml,Orien,Erkek Bakım,45.41423007973891,50.2,4.785769920261096,True
10207882,Gliss Full Hair Wonder Sıvı Saç Bakım Kremi 200 ml,Gliss,Saç Bakım,42.69584781668553,40.1,2.595847816685527,True
10207883,Gliss Full Hair Wonder Saç Serumu 100 ml,Gliss,Saç Bakım,41.493282786417765,40.3,1.1932827864177682,True
10207887,Eklips Kaş Kirpik Tarağı ve Fırçası,Eklips,Kişisel Bakım,29.267425690863206,19.8,9.467425690863205,False
10207903,Sesu Men Tüy Dökücü Krem Tüm Ciltler 200 ml,Sesu,Erkek Bakım,43.23010060551522,39.9,3.33010060551522,True
10207904,Urban Care Shake N Repair 7/24 Düzleştirici Etkili Saç Bakım Köpüğü 150 ml,Urban,Saç Bakım,50.637288977132684,50.2,0.4372889771326811,True
10207905,Bee Beauty Işıltı Veren Saç Serumu 150 ml,Bee Beauty,Saç Bakım,36.07974866302481,50.0,13.920251336975191,False
10207906,Urban Care Expert Biotin Caffeine Dökülme Karşıtı Saç Bakım Serumu 50 ml,Urban,Saç Bakım,54.21483600902713,51.73333333333333,2.481502675693804,True
10207910,Urban Care Shake N Repair 10 in 1 Onarıcı Etkili Durulanmayan Saç Bakım Spreyi 200 ml,Urban,Saç Bakım,52.59608888822815,51.70000000000001,0.8960888882281424,True
10207911,Urban Care Shake N Repair 7/24 Gloss Laminasyon Parlaklık Etkili Durulanan Bakım Kremi 200 ml,Urban,Saç Bakım,52.56905343384313,51.70000000000001,0.8690534338431206,True
10207912,Urban Care Shake N Repair 7/24 Kabaran ve Bukleli Saçlara Özel Saç Bakım Köpüğü 150 ml,Urban,Saç Bakım,51.693425106906076,52.45,0.7565748930939264,True
10207913,Mia Klinika Şeffaf Akne Yara Bandı 36 Adet,Mia,Cilt Bakım,41.24106376043375,40.3,0.9410637604337495,True
10207930,Eklips Pastel Renkli Lastik Toka 15'li,Eklips,Moda & Aksesuar,28.714496851488253,22.0,6.714496851488253,False
10207931,Loreal Paris Elseve Hydra Hyaluronic Nem Dolduran Bakım Şampuanı 300 ml,Loreal,Saç Bakım,34.80947557491615,50.0,15.19052442508385,False
10207932,Loreal Paris Elseve Color Vive Renk Koruyucu Bakım Şampuanı 300 ml,Loreal,Saç Bakım,34.80947557491615,50.0,15.19052442508385,False
10207933,Loreal Paris Elseve Dream Long Kırık Uç Onarıcı Bakım Şampuanı 300 ml,Loreal,Saç Bakım,34.721160993340575,50.0,15.278839006659425,False
10207934,Loreal Paris Elseve Komple Direnç Dökülme Karşıtı Bakım Şampuanı 300 ml,Loreal,Saç Bakım,34.80947557491615,50.0,15.19052442508385,False
10207935,Loreal Paris Elseve Komple Onarıcı 5 Yapılandırıcı Bakım Şampuanı 300 ml,Loreal,Saç Bakım,34.712181108283104,50.0,15.287818891716896,False
